,id,price_area,area,zipcode_price,condition,max_price_buy,min_price_sell,gross_profit,lat,long,road,house_number,city,county,state,neighbourhood
0,114101516,216.78321678321677,1430,225.14308528697757,4,310000.0,500076.02457742736,190076.02457742736,47.7558,-122.229,NE 176th Court,8308,NA,King County,Washington,
1,6865200140,303.125,1600,369.7990484066329,4,485000.0,559525.6219048138,74525.6219048138,47.6648,-122.343,North 50th Street,1215,Seattle,King County,Washington,
2,6300500875,237.65432098765433,1620,253.9714533761577,4,385000.0,566519.692178624,181519.69217862398,47.7025,-122.341,Interlake Avenue North,10033,Seattle,King County,Washington,Licton Springs
3,3814700200,134.28571428571428,2450,155.156220666326,4,329000.0,856773.6085417462,527773.6085417462,47.3739,-122.172,Southeast 254th Court,12715,NA,King County,Washington,White Horse Crossing
4,461000390,295.06437768240346,2330,363.53553174214744,4,687500.0000000001,814809.1868988852,127309.18689888506,47.6823,-122.368,9th Avenue Northwest,7326,Seattle,King County,Washington,Whittier Heights
5,2768000400,271.1864406779661,2360,382.9519753823742,4,640000.0,825300.2923096004,185300.2923096004,47.6702,-122.362,Northwest 58th Street,NA,Seattle,King County,Washington,
6,7231300125,109.52380952380952,3150,215.53612655026214,4,345000.0,1101566.0681251022,756566.0681251022,47.4934,-122.189,Blaine Avenue Northeast,663,NA,King County,Washington,Highlands Park
7,7922800400,292.61538461538464,3250,301.7177311724625,4,951000.0000000001,1136536.4194941532,185536.41949415312,47.588,-122.116,Southeast 26th Street,16855,Bellevue,King County,Washington,Sammamish Heights
8,1525059190,218.02935010482182,4770,314.92923109821106,4,1040000.0000000001,1668085.7603037262,628085.7603037261,47.6525,-122.16,Northeast 50th Street,13511,Bellevue,King County,Washington,
9,1049000060,257.93650793650795,1260,265.95224836863713,4,325000.0,440626.4272500409,115626.42725004093,47.7362,-122.179,Northeast 149th Place,12206,NA,King County,Washington,
10,3276920270,242.71137026239066,3430,268.63984611658105,4,832500.0,1199483.0519584448,366983.05195844476,47.5822,-121.987,263rd Place Southeast,3058,NA,King County,Washington,Tibbetts Station
11,1332700270,133.54037267080744,1610,215.53612655026214,4,214999.99999999997,563022.657041719,348022.65704171895,47.518,-122.194,Kennewick Place Northeast,2906,NA,King County,Washington,Kennydale
12,5036300431,312.46590909090907,3520,376.54634504868625,4,1099880.0,1230956.3681905905,131076.36819059053,47.6506,-122.391,West Bertona Street,2650,Seattle,King County,Washington,Lawton Park
13,5200100125,280.3030303030303,1980,363.53553174214744,4,555000.0,692412.9571072072,137412.95710720716,47.6775,-122.372,12th Avenue Northwest,6549,Seattle,King County,Washington,Whittier Heights
14,1328310370,160.25641025641025,2340,178.20436170206634,4,375000.0,818306.2220357902,443306.2220357902,47.4431,-122.133,Southeast 177th Place,15616,NA,King County,Washington,Candlewood
15,546000875,275.4491017964072,1670,363.53553174214744,4,460000.00000000006,584004.8678631495,124004.86786314944,47.6878,-122.38,18th Avenue Northwest,8026,Seattle,King County,Washington,Whittier Heights
