,id,price_area,area,zipcode_price,condition,max_price_buy,min_price_sell,profit,lat,long,road,house_number,city,county,state,neighbourhood
0,7129300520,188.05084745762713,1180,189.17252830749555,3,221900.0,223223.58340284476,1323.583402844757,47.5112,-122.257,61st Avenue South,10012,Seattle,King County,Washington,Rainier Beach
1,6414100192,209.3385214007782,2570,282.6698862086409,3,538000.0,726461.6075562071,188461.6075562071,47.721,-122.319,Northeast 127th Street,837,Seattle,King County,Washington,
2,2487200875,308.16326530612247,1960,337.21803422469395,5,604000.0,660947.3470804001,56947.3470804001,47.5208,-122.393,Fauntleroy Way Southwest,9236,Seattle,King County,Washington,
3,7237550310,226.01476014760146,5420,268.40018565787614,3,1225000.0,1454729.0062656887,229729.0062656887,47.6561,-122.005,Northeast Patterson Way,25005,NA,King County,Washington,
4,1321400060,150.14577259475217,1715,157.11341446884097,3,257499.99999999997,269449.50581406226,11949.505814062286,47.3097,-122.327,South 330th Place,533,NA,King County,Washington,
5,2414600126,128.93258426966293,1780,225.49143113532367,3,229500.0,401374.7474208761,171874.7474208761,47.5123,-122.337,Southwest 102nd Street,216,Seattle,King County,Washington,
6,3793500160,170.8994708994709,1890,173.72594528431705,3,323000.0,328342.0365873592,5342.036587359209,47.3684,-122.031,232nd Place Southeast,26007,NA,King County,Washington,Katesridge
7,1736800520,186.09550561797752,3560,290.04901987794375,3,662500.0,1032574.5107654798,370074.51076547976,47.6007,-122.145,146th Avenue Southeast,NA,Bellevue,King County,Washington,
8,1175000570,292.81767955801104,1810,382.9519753823742,3,530000.0,693143.0754420973,163143.07544209727,47.67,-122.394,Northwest 57th Street,2825,Seattle,King County,Washington,Sunset Hill
9,9297300055,220.33898305084745,2950,292.79588004303434,3,650000.0,863747.8461269513,213747.84612695128,47.5714,-122.375,33rd Avenue Southwest,3614,Seattle,King County,Washington,
10,7137970340,125.55066079295155,2270,155.81424006323968,3,285000.0,353698.32494355406,68698.32494355406,47.3266,-122.169,Southeast 307th Place,12840,NA,King County,Washington,
11,1202000200,136.25730994152048,1710,151.17409095919788,5,233000.0,258507.6955402284,25507.695540228393,47.3048,-122.218,I Street Southeast,316,NA,King County,Washington,
12,1794500383,382.44897959183675,2450,432.2569983896907,3,937000.0,1059029.6460547422,122029.64605474216,47.6386,-122.36,West Boston Street,206,Seattle,King County,Washington,
13,5101402488,288.1578947368421,1520,354.14426149917773,3,437999.99999999994,538299.2774787501,100299.27747875015,47.695,-122.304,Northeast 91st Street,2302,Seattle,King County,Washington,Wedgwood
14,1873100390,279.76653696498056,2570,280.38632376692135,3,719000.0,720592.8520809879,1592.8520809878828,47.7073,-122.11,Northeast 119th Way,17256,NA,King County,Washington,
15,8562750320,250.2155172413793,2320,251.57228867661547,3,580500.0,583647.7097297478,3147.7097297478467,47.5391,-122.07,Northwest Granite Peak Lane,NA,NA,King County,Washington,
16,2426039314,235.2941176470588,1190,253.9714533761577,3,280000.0,302226.02951762767,22226.02951762767,47.7274,-122.357,Greenwood Avenue North,13435,Seattle,King County,Washington,
17,7955080270,156.55339805825244,2060,178.20436170206634,3,322500.0,367100.9851062567,44600.985106256674,47.4276,-122.157,138th Avenue Southeast,19504,NA,King County,Washington,Rock Creek
18,9547205180,302.60869565217394,2300,354.14426149917773,3,696000.0,814531.8014481087,118531.80144810874,47.6827,-122.31,17th Avenue Northeast,7349,Seattle,King County,Washington,
19,5547700270,243.19066147859922,2570,265.67134229472754,3,625000.0,682775.3496974498,57775.34969744983,47.6145,-122.027,234th Place Northeast,521,NA,King County,Washington,
20,7766200013,183.64928909952607,4220,226.19711961913,3,775000.0,954551.8447927287,179551.84479272866,47.445,-122.347,Southwest 174th Street,853,NA,King County,Washington,
21,7203220400,239.77468706536857,3595,268.40018565787614,3,861990.0,964898.6674400647,102908.66744006472,47.6848,-122.016,242nd Way Northeast,9704,NA,King County,Washington,
22,8035350320,154.43037974683546,3160,203.0017247765589,3,488000.00000000006,641485.450293926,153485.450293926,47.7443,-121.977,270th Place Northeast,16075,NA,King County,Washington,
23,3626039271,295.45454545454544,1980,363.53553174214744,3,585000.0,719800.3528494519,134800.35284945194,47.6989,-122.369,9th Avenue Northwest,9527,Seattle,King County,Washington,Crown Hill
24,4217401195,336.996336996337,2730,405.15436773943867,3,920000.0,1106071.4239286676,186071.42392866756,47.6571,-122.281,43rd Avenue Northeast,3848,Seattle,King County,Washington,Laurelhurst
25,9822700295,312.7208480565371,2830,405.15436773943867,3,884999.9999999999,1146586.8607026115,261586.86070261162,47.6597,-122.29,Northeast 43rd Street,3503,Seattle,King County,Washington,
26,9478500640,130.0,2250,164.37751700790727,3,292500.0,369849.4132677914,77349.41326779139,47.3663,-122.114,Southeast 263rd Street,17025,NA,King County,Washington,
